Date,Car,Year,Price,Mileage,Location,URL
01/07/21,Lexus GS F Sport Hybrid 450h F Sport Hybrid,2018,"$56,995",N/A,"San Ramon, CA, USA(1815 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=233842312308
01/07/21,Lexus GS F F F Used 5L V8 32V Automatic RWD Sedan...,2016,"$52,998",N/A,"Webster, TX, USA(960 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=154268819563
01/07/21,Lexus GS F,2020,"$69,900","8,366 mi.","Westmont, IL(21 mi. from 60004)",https://www.cars.com/vehicledetail/detail/827809201/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2020,"$73,488","4,603 mi.","Milwaukee, WI(67 mi. from 60004)",https://www.cars.com/vehicledetail/detail/825064713/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2016,"$49,750","32,739 mi.","Creve Coeur, MO(267 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833655083/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2016,"$39,776","104,487 mi.","Clarksville, IN(286 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833147124/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2017,"$50,988","40,875 mi.","Cincinnati, OH(276 mi. from 60004)",https://www.cars.com/vehicledetail/detail/831620093/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2019,"$72,900","6,767 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834701037/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2019,"$71,900","1,879 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834701036/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2017,"$61,900","1,919 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834701039/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2017,"$61,900","2,158 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834701038/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2016,"$50,229","12,400 mi.","Miami, FL(1211 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834617814/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2016,"$57,500","21,000 mi.","Las Vegas, NV(1512 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834597598/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2016,"$50,995","40,137 mi.","Vienna, VA(604 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834528503/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2017,"$50,000","39,814 mi.","Gastonia, NC(598 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834325692/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2017,"$56,750","19,323 mi.","Tulsa, OK(592 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834409809/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2019,"$68,585","29,495 mi.","Mesa, AZ(1423 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834266060/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2019,"$68,977","1,620 mi.","Lilburn, GA(605 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834187270/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2020,"$76,998","2,498 mi.","Inglewood, CA(1736 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833080986/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2019,"$72,991","3,959 mi.","Cary, NC(658 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834138076/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2016,"$48,204","39,527 mi.","Larchmont, NY(740 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834088054/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2017,"$59,596","7,898 mi.","Lakewood, CO(913 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833396625/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2019,"$69,900","5,217 mi.","Macon, GA(682 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833715067/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2016,"$48,699","39,250 mi.","Montclair, CA(1698 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833562890/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2020,"$74,998","4,283 mi.","Las Vegas, NV(1510 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833546193/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/07/21,Lexus GS F,2020,"$83,898","1,714 mi.","Woodbury, NY(756 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833332736/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
