Date,Car,Year,Price,Mileage,Location,URL
01/31/21,Lexus IS 350 F Sport AWD Off Lease Only Premium...,2017,"$29,999",N/A,"Orlando, FL, USA(1015 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=284166221594
01/31/21,Lexus IS 350 4dr Sedan AWD 4dr Sedan AWD F SPORT...,2015,"$23,997",N/A,"Hickory, NC, USA(570 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=114657241185
01/31/21,Lexus IS 350 F Sport RWD Off Lease Only Premium...,2017,"$32,999",N/A,"Orlando, FL, USA(1015 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=274649184466
01/31/21,Lexus IS IS 350 F Sport RWD Lexus IS 350 F-Sport Sedan,2017,"$33,978",N/A,"Tampa, FL, USA(1030 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=284145993825
01/31/21,Lexus IS 350 F Sport,2021,"$53,999",317 mi.,"Chicago, IL(21 mi. from 60004)",https://www.cars.com/vehicledetail/detail/837076581/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2018,"$34,509","35,114 mi.","Willoughby Hills, OH(340 mi. from 60004)",https://www.cars.com/vehicledetail/detail/830735807/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2020,"$41,980",259 mi.,"St. Louis, MO(267 mi. from 60004)",https://www.cars.com/vehicledetail/detail/829465679/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2020,"$39,480","3,944 mi.","Buford, GA(592 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834256775/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2020,"$39,995","7,951 mi.","Pembroke Pines, FL(1196 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836652395/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2021,"$43,500","1,742 mi.","Paramus, NJ(723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836363210/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2017,"$33,499","13,319 mi.","Henderson, NV(1504 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836393161/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2020,"$44,900","6,236 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836285736/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2017,"$30,900","70,832 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836285588/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2016,"$26,215","33,621 mi.","Montclair, CA(1698 mi. from 60004)",https://www.cars.com/vehicledetail/detail/835706714/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2020,"$46,700","5,754 mi.","Fife, WA(1712 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836015917/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2018,"$34,998","17,870 mi.","Encino, CA(1736 mi. from 60004)",https://www.cars.com/vehicledetail/detail/835994624/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2018,"$33,494","25,749 mi.","Plano, TX(787 mi. from 60004)",https://www.cars.com/vehicledetail/detail/835656862/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2016,"$28,000","43,800 mi.","San Jose, CA(1811 mi. from 60004)",https://www.cars.com/vehicledetail/detail/835281613/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2016,"$26,500","51,000 mi.","Ludowici, GA(795 mi. from 60004)",https://www.cars.com/vehicledetail/detail/835033476/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2017,"$33,429","31,051 mi.","North Richland Hills, TX(813 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834900092/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2017,"$30,794","43,603 mi.","Bedford, NH(840 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834500441/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2016,"$27,881","57,938 mi.","San Antonio, TX(1052 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834481680/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2016,"$30,000","36,000 mi.","North Attleboro, MA(853 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834224756/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2020,"$40,615","9,599 mi.","Irvine, CA(1713 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833985803/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2020,"$42,000","6,856 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833837348/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2020,"$39,980",184 mi.,"Stafford, TX(959 mi. from 60004)",https://www.cars.com/vehicledetail/detail/831089518/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2019,"$39,800","25,657 mi.","Fife, WA(1712 mi. from 60004)",https://www.cars.com/vehicledetail/detail/830760952/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2020,"$40,385","6,014 mi.","Henderson, NV(1504 mi. from 60004)",https://www.cars.com/vehicledetail/detail/829735456/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2020,"$45,790","9,099 mi.","Lowell, MA(850 mi. from 60004)",https://www.cars.com/vehicledetail/detail/825746700/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F Sport,2016,"$25,552","68,367 mi.","Wichita, KS(582 mi. from 60004)",https://www.cars.com/vehicledetail/detail/818845125/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus IS 350 F SPORT,2021,"$53,999",317 mi.,"Chicago, IL(21 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1E26M5018563/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2018,"$35,500","16,698 mi.","Brookfield, WI(67 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHCZ1D23J5015132/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$42,998","6,750 mi.","Creve Coeur, MO(267 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1E26L5017444/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2019,"$36,500","17,777 mi.","Columbus, OH(299 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHCZ1D21K5016216/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$42,815","10,489 mi.","Towson, MD(623 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1E27L5017419/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$35,227","20,353 mi.","Bensalem, PA(693 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHCE1D2XH5013724/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2018,N/A,"27,715 mi.","North Miami, FL(1211 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D29J5032299/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2018,"$31,999","28,567 mi.","Houston, TX(946 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D22J5032483/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2018,"$33,499","37,100 mi.","Seattle, WA(1710 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D29J5031735/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2018,"$34,941","22,318 mi.","Austin, TX(981 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D2XJ5032120/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2018,"$36,413","14,594 mi.","Roswell, GA(591 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D23J5033674/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2018,"$35,692","19,281 mi.","Owings Mills, MD(614 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHCZ1D23J5015972/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2018,"$36,239","25,918 mi.","Houston, TX(946 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D27J5032186/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2018,"$36,590","15,455 mi.","Baton Rouge, LA(824 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D27J5031684/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2018,"$38,999","30,492 mi.","Plano, TX(787 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D29J5033730/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$33,429","31,051 mi.","Fort Worth, TX(813 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D25H5028711/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$23,966","57,782 mi.","Arlington, VA(613 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHCE1D27H5013096/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$27,995","82,873 mi.","Dallas, TX(802 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D2XH5029403/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$33,978","28,681 mi.","Tampa, FL(1025 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D22H5029864/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$30,995","41,022 mi.","Macon, GA(682 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D22H5030013/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$33,305","29,316 mi.","San Antonio, TX(1052 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D29H5031207/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2018,"$35,599","4,287 mi.","West Covina, CA(1711 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D20J5033101/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$29,999","37,308 mi.","Orlando, FL(1009 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHCE1D20H5013876/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,N/A,"5,012 mi.","Pembroke Pines, FL(1196 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1B23L5035775/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,N/A,"29,456 mi.","Plano, TX(787 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHCE1D2XH5014162/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$28,996","30,601 mi.","Norco, CA(1696 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D26H5031553/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$32,999","15,045 mi.","Orlando, FL(1009 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D28H5030307/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$33,900","13,002 mi.","Fremont, CA(1819 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D25H5031009/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$30,794","43,603 mi.","Bedford, NH(840 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHCE1D28H5014404/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$27,000","65,911 mi.","Fredricksburg, VA(613 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHCE1D2XH5013917/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$33,499","13,319 mi.","Henderson, NV(1504 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D25H5028692/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$34,291","19,259 mi.","Houston, TX(946 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D21H5031007/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$30,900","70,832 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D20H5031192/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$26,724","65,597 mi.","Riverside, CA(1689 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D2XH5028705/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$29,699","43,289 mi.","Bellfower, CA(1726 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D23H5031283/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$33,991","41,679 mi.","Houston, TX(946 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D24H5029462/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2017,"$30,487","50,651 mi.","Richardson, TX(790 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBE1D26H5030161/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2018,"$35,995","25,508 mi.","San Juan, TX(1241 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D23J5031763/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2018,"$34,998","17,870 mi.","Encino, CA(1736 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHBZ1D25J5032493/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$44,975","6,099 mi.","Grapevine, TX(804 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1B2XL5035417/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$44,500","1,060 mi.","Bethesda, MD(609 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1E24L5018298/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$38,737","2,330 mi.","Lancaster, CA(1701 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1B21L5035516/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$39,772","6,737 mi.","Union City, GA(618 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1B20L5036088/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$39,990","7,654 mi.","Norwalk, CA(1723 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1B22L5036173/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$39,995","7,951 mi.","Pembroke Pines, FL(1196 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1B2XL5036423/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$41,896","5,830 mi.","Hoover, AL(596 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1B26L5037052/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$40,415","6,520 mi.","Garden Grove, CA(1721 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1B2XL5035949/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$36,995","5,158 mi.","Fairfax, VA(604 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1B23L5036005/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$43,500","2,453 mi.","Bethesda, MD(609 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1E23L5018194/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$40,499","12,988 mi.","Plano, TX(787 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1B25L5035700/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$43,588","1,496 mi.","Burleson, TX(835 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1E20L5017875/?referrer_id=autotempest
01/31/21,Lexus IS 350 F Sport,2020,"$45,000","8,196 mi.","Bellevue, WA(1705 mi. from 60004)",https://www.truecar.com/used-cars-for-sale/listing/JTHGZ1E26L5017265/?referrer_id=autotempest
